Label,ChatGPT_pr
0,0.2372329557619478
1,0.9277735366542554
1,0.5406476294488575
0,0.003319969
0,0.9138905904913245
1,0.43150352281986853
0,0.001190564
1,0.5302116679472375
0,0.089802175
0,0.4393771602945435
0,0.03180193
0,0.11430368137623739
1,0.8482287844942228
0,0.024585938
0,0.1799436908620481
1,0.671744974
1,0.5310874637282724
0,0.012002042501325279
1,0.5595738995717898
1,0.5022713734818091
1,0.7432657034940975
1,0.6002092366426962
0,0.11445057303072505
0,0.00589389
0,0.006769063
1,0.4799210433269863
1,0.9245719271602899
0,0.038964637
0,0.021658310940888388
0,0.07567915
0,0.4425402781350841
0,0.2832678105300873
0,0.3519742419566422
0,0.3200276615934216
0,0.20912771707343905
1,0.5749991397621279
1,0.9865751775148769
0,0.40456488154419934
1,0.38887675175505204
1,0.13039808872086173
0,0.007203695
1,0.9037886992222964
0,0.5536648417140592
0,0.11430368137623739
1,0.5247413264611968
1,0.8859430206453908
0,0.14679668170971635
0,0.006789825
0,0.34844277336370133
0,0.20888797520053293
0,0.029483175
0,0.05081869
1,0.759209361
0,0.049458307
0,0.3262756830102345
1,0.6002092366426962
1,0.4169503551974984
0,0.11445057303072505
0,0.4411667743255834
1,0.6936904699927724
1,0.9274791871479898
1,0.9738572894975769
1,0.9702362996701922
0,0.6388446118616883
0,0.21364793451499856
0,0.46826826363751406
1,0.5816118166634868
0,0.36548208479003336
0,0.2630777087751211
1,0.17485481240709963
1,0.6946718619009488
0,0.07567915
1,0.7251313706689431
1,0.6915826285674423
1,0.3876971
0,0.2678347963250857
0,0.14347991879941002
1,0.9857536175306365
1,0.4095852766673279
0,0.016135832366186636
0,0.3230911402929927
1,0.7292577136640505
0,0.003319969
0,0.20912771707343905
0,0.23381040413400286
0,0.015634331772182132
0,0.016757567478259173
1,0.3200276615934216
1,0.39221913428238553
0,0.13881107195874384
0,0.1602345203212735
0,0.21364793451499856
0,0.006769063
1,0.8157418782539564
0,0.16836138917632715
1,0.8003197608013595
0,0.005902392
0,0.006063649
1,0.5749991397621279
0,0.33177198009854814
0,0.00863913
1,0.8800264269133908
1,0.9922080812501597
0,0.936759437
1,0.6875872211954217
0,0.25792790368277274
0,0.4011867375184125
0,0.010681562812368374
0,0.06015632
1,0.8801542320997676
0,0.10174347144196823
1,0.9495932838884181
1,0.7697696134213894
